Wer haftet bei einer Einzelunternehmung für die Schulden des Unternehmens?,Der Inhaber haftet allein und unbeschränkt mit seinem gesamten Privatvermögen.
Wem steht der gesamte Gewinn einer Einzelunternehmung zu?,Der gesamte erzielte Gewinn steht dem alleinigen Inhaber zu.
Welchen Rechtsformzusatz muss eine im Handelsregister eingetragene Einzelunternehmung führen?,"Sie muss einen der Zusätze „e.K.“, „e.Kfm.“ (eingetragener Kaufmann) oder „e.Kfr.“ (eingetragene Kauffrau) führen."
"Was ist der Hauptnachteil der Einzelunternehmung, der zu ihrem Bedeutungsrückgang führt?","Ihre mangelnde Kapitalstärke, die oft notwendige Betriebsinvestitionen verhindert."
Welchen entscheidenden Vorteil hat ein Einzelunternehmer bei der Entscheidungsfindung?,"Er kann seine Entscheidungen selbstständig, frei und vor allem schnell treffen."
Definiere den Begriff 'Personengesellschaft'.,"Eine Unternehmensform, bei der sich mindestens zwei Personen zusammenschließen, wobei die persönliche Mitarbeit und Haftung im Vordergrund stehen."
Wie haften die Gesellschafter einer Personengesellschaft in der Regel?,Sie haften in der Regel unbeschränkt mit ihrem Privatvermögen.
Warum wird häufig eine offene Handelsgesellschaft (OHG) gegründet?,"Eine OHG wird oft gegründet, wenn die Kapitalgrundlage einer Einzelunternehmung zu schwach ist."
Welche drei wesentlichen Merkmale kennzeichnen die Haftung der Gesellschafter einer OHG?,"Die Haftung ist unbeschränkt, unmittelbar und solidarisch (gesamtschuldnerisch)."
Was bedeutet 'unmittelbare Haftung' bei einer OHG?,"Gläubiger können einen Gesellschafter direkt in Anspruch nehmen, ohne zuvor bei der Gesellschaft einen Ausgleich versucht zu haben."
Ist eine Haftungsbeschränkung bei einer OHG gegenüber Dritten (im Außenverhältnis) wirksam?,"Nein, eine Regelung zur Haftungsbeschränkung im Gesellschaftsvertrag ist Dritten gegenüber unwirksam."
Wie wurde die Gewinnverteilung bei einer OHG zum 01.01.2024 durch das MoPeG neu geregelt?,"Die Verteilung erfolgt vorrangig nach den vereinbarten Beteiligungsverhältnissen oder dem Wert der Beiträge, nicht mehr standardmäßig nach Köpfen."
Wodurch zeichnet sich die Kreditwürdigkeit einer OHG typischerweise aus und warum?,"Sie genießt in der Regel hohes Ansehen (Kredit), wegen der strengen und unbeschränkten Haftungsgrundsätze der Gesellschafter."
Welche zwei Arten von Gesellschaftern gibt es in einer Kommanditgesellschaft (KG)?,Es gibt Komplementäre (Vollhafter) und Kommanditisten (Teilhafter).
Wer ist in einer KG für die Geschäftsführung und die Vertretung nach außen zuständig?,Allein die Komplementäre haben das Recht und die Pflicht zur Geschäftsführung und Vertretung.
Begriff: Komplementär,"Der persönlich haftende Gesellschafter (Vollhafter) einer KG, der wie ein OHG-Gesellschafter mit seinem gesamten Vermögen haftet."
Begriff: Kommanditist,"Der nur beschränkt haftende Gesellschafter (Teilhafter) einer KG, dessen Haftung auf seine Kapitaleinlage begrenzt ist."
Welche wesentlichen Kontrollrechte stehen einem Kommanditisten zu?,Er darf Bilanzabschriften und Bucheinsichten verlangen.
Was ist ein Vorteil der KG bei der Kapitalbeschaffung im Vergleich zur OHG?,"Die Aufnahme neuer Gesellschafter (als Kommanditisten) ist einfacher, da diese kein volles Haftungsrisiko eingehen."
Wie entsteht eine GmbH rechtswirksam?,"Sie entsteht durch die Eintragung in das Handelsregister, was eine konstitutive Wirkung hat."
"Was bedeutet es, dass eine GmbH eine 'juristische Person' ist?","Sie hat eine eigene Rechtspersönlichkeit und kann selbstständig Rechte und Pflichten haben, z.B. Eigentum erwerben oder klagen."
Wie hoch ist das Mindeststammkapital einer GmbH?,"Das Stammkapital muss mindestens 25.000,00 Euro betragen."
Wie haften die Gesellschafter einer GmbH für die Verbindlichkeiten der Gesellschaft?,"Sie haften nicht mit ihrem Privatvermögen, sondern es haftet grundsätzlich nur die GmbH mit ihrem Gesellschaftsvermögen."
"Nach welchem Prinzip erfolgt die Gewinnverteilung bei einer GmbH, sofern nicht anders geregelt?",Die Gewinnverteilung erfolgt grundsätzlich nach dem Verhältnis der Geschäftsanteile der Gesellschafter.
"Welches ist das oberste Organ der GmbH, in dem die Gesellschafter über grundsätzliche Angelegenheiten entscheiden?",Die Gesellschafterversammlung ist das oberste Organ der GmbH.
Wer vertritt die GmbH gerichtlich und außergerichtlich?,Die GmbH wird durch den oder die Geschäftsführer vertreten.
Ab wie vielen Beschäftigten ist ein Aufsichtsrat für eine GmbH gesetzlich vorgeschrieben?,Ein Aufsichtsrat ist für jede GmbH mit mehr als 500 Beschäftigten gesetzlich vorgeschrieben.
Wie wird das Kapital einer Aktiengesellschaft (AG) aufgebracht?,Das Kapital wird durch den Verkauf von Aktien aufgebracht.
Womit haften Aktionäre für die Verbindlichkeiten einer AG?,"Aktionäre haften ausschließlich mit ihrer Kapitaleinlage, also dem Wert ihrer Aktien, nicht mit ihrem Privatvermögen."
Begriff: Dividende,"Der auf die einzelne Aktie entfallende Anteil des Jahresüberschusses einer AG, der an die Aktionäre ausgeschüttet wird."
"Warum steigt der Kurswert einer Aktie in der Regel, wenn die AG Gewinne einbehält und reinvestiert?","Durch die Investitionen wird das Unternehmen wertvoller, was den tatsächlichen Wert der Anteile (Aktien) erhöht."
Wie hoch ist das Mindestgrundkapital einer AG?,"Das Grundkapital muss mindestens 50.000,00 Euro betragen."
Nenne die drei gesetzlich vorgeschriebenen Organe einer AG.,"Die Organe sind Hauptversammlung, Aufsichtsrat und Vorstand."
Welche Aufgabe hat der Aufsichtsrat in einer AG?,Der Aufsichtsrat überwacht als Kontrollorgan den Vorstand und bestellt diesen auch.
Welches Organ führt die Geschäfte einer AG?,Der Vorstand führt als Leitungsorgan die Geschäfte der Gesellschaft.
Für welche Unternehmensgröße ist die AG als Rechtsform besonders geeignet und warum?,"Sie ist für Großunternehmen geeignet, da durch den Verkauf von Aktien an viele Personen ein hoher Kapitalbedarf gedeckt werden kann."
"Die Gesellschafter einer OHG haften unmittelbar, unbeschränkt und _____.",gesamtschuldnerisch (solidarisch)
"Welche Rechtsform entsteht, wenn eine Gesellschaft bürgerlichen Rechts (GbR) ein Handelsgewerbe betreibt?",Sie wird zur OHG oder KG.
Welche Vertragsform ist für die Gründung einer OHG oder KG erforderlich?,Ein formfreier Gesellschaftsvertrag ist ausreichend.
Welche Vertragsform ist für die Gründung einer GmbH oder AG erforderlich?,Ein notariell beurkundeter Gesellschaftsvertrag (bzw. Satzung bei der AG) ist erforderlich.
Wer ist zur Geschäftsführung in einer OHG berechtigt und verpflichtet?,Jeder Gesellschafter ist zur Geschäftsführung berechtigt und verpflichtet.
Die Haftung bei einer GmbH ist auf das _____ beschränkt.,Gesellschaftsvermögen
Welche Rechtsgrundlage regelt die GmbH?,Das GmbH-Gesetz (GmbHG).
Welche Rechtsgrundlage regelt die AG?,Das Aktiengesetz (AktG).
Welche Rechtsgrundlage regelt die OHG?,Die Paragraphen §105 ff. des Handelsgesetzbuches (HGB).
Welche Rechtsgrundlage regelt die KG?,Die Paragraphen §161 ff. des Handelsgesetzbuches (HGB).
Wie hoch ist der steuerliche Freibetrag bei der Gewerbesteuer für eine Einzelunternehmung?,Der Freibetrag beträgt 24.500 Euro.
Unter welcher Bedingung ist eine Einzelunternehmung von der Bilanzierungspflicht befreit?,"Wenn der Gewinn unter 60.000 € liegt, ist keine Bilanzierungspflicht gegeben und eine Einnahmenüberschussrechnung reicht aus."
"Welche Unternehmensform, auch Mini-GmbH genannt, kann seit 2008 mit 1€ Mindestkapital gegründet werden?",Die Unternehmergesellschaft (UG).
Nenne zwei Entscheidungskriterien bei der Wahl einer Rechtsform.,"Mögliche Antworten: Kapitalbeschaffung, Haftung, Geschäftsführung, Gewinnverteilung, Steuerbelastung."
Ist die Nennung eines Gesellschafters im Firmennamen einer OHG oder KG heute noch erforderlich?,"Nein, die Nennung eines Gesellschafters ist nicht mehr erforderlich; Phantasiebezeichnungen sind erlaubt."
Was versteht man unter dem 'Nennwert' einer Aktie?,"Der Nennwert ist der auf einer Aktie aufgedruckte Betrag, der den Anteil am Grundkapital der AG ausdrückt."
Was versteht man unter dem 'Kurswert' einer Aktie?,"Der Kurswert (oder Kurs) ist der Preis, zu dem eine Aktie an der Börse gehandelt wird."
Kann eine Prokura an einen Kommanditisten einer KG erteilt werden?,"Ja, die Erteilung der Prokura an einen Kommanditisten ist möglich."
Wie wird das Gesellschaftskapital einer GmbH bezeichnet?,Es wird als Stammkapital bezeichnet.
Wie wird das Gesellschaftskapital einer AG bezeichnet?,Es wird als Grundkapital bezeichnet.
Welcher Rechtsform sind die Komplementäre einer KG in Bezug auf ihre Stellung und Haftung gleichzusetzen?,Sie sind den Gesellschaftern einer OHG gleichzusetzen.
"Was ist der Hauptgrund, warum Gesellschafter einer OHG oft nach anderen Unternehmensformen suchen?",Das volle und unbeschränkte Haftungsrisiko mit dem Privatvermögen.
Wer beruft in der Regel die Gesellschafterversammlung einer GmbH ein?,Die Gesellschafterversammlung wird in der Regel durch die Geschäftsführer einberufen.
Was ist die Hauptversammlung einer AG?,Die Hauptversammlung ist das beschlussfassende Organ und die Zusammenkunft aller Aktionäre.